Identifier 1,date,day,month,tissue type,Identifier 2,fl_mm,percent_n,percent_c,d15N,d13C
PRD222_10/12_WAL_510M_489FIN,10/12/12,12,10,fin,Walleye,510,6.041289,23.1181252,14.59,-27.11
PRD24_3/24_WAL_510M_B26FIN,3/24/12,24,3,fin,Walleye,510,7.4451318,28.7544073,16.333,-28.02
PRD47_3/24_WAL_510M_B49FIN,3/24/12,24,3,fin,Walleye,510,7.4185206,27.7729249,16.764,-25.437
PRD75_3/25_WAL_510M_B77FIN,3/25/12,25,3,fin,Walleye,510,7.0541485,26.3410877,15.555,-26.421
PRD112_7/7_WAL_520M_B276FIN,7/7/12,7,7,fin,Walleye,520,7.7335613,27.4463444,15.911,-26.738
PRD114_7/7_WAL_520M_B278FIN,7/7/12,7,7,fin,Walleye,520,6.2390471,22.0637531,15.435,-23.632
PRD197_9/9_WAL_520F_464FIN,9/9/12,9,9,fin,Walleye,520,5.7746716,19.2250085,15.556,-24.256
PRD219_10/11_WAL_520M_486FIN,10/11/12,11,10,fin,Walleye,520,5.6497721,19.1892079,15.786,-24.945
PRD173_9/8_WAL_530M_440FIN,9/8/12,8,9,fin,Walleye,530,7.213878,24.3298203,14.492,-25.608
PRD187_9/9_WAL_530F_454FIN,9/9/12,9,9,fin,Walleye,530,7.4244734,26.7970278,15.023,-25.437
PRD195_9/9_WAL_530F_462FIN,9/9/12,9,9,fin,Walleye,530,6.6232267,23.1362737,16.303,-25.612
PRD210_9/9_WAL_530M_477FIN,9/9/12,9,9,fin,Walleye,530,6.3638739,24.2990484,16.245,-24.145
PRD210_9/9_WAL_530M_477FIN,9/9/12,9,9,fin,Walleye,530,6.8063952,22.5434643,16.246,-23.645
PRD217_9/9_WAL_530M_484FIN,9/9/12,9,9,fin,Walleye,530,5.7900702,19.6992148,15.928,-23.698
PRD45_3/24_WAL_530M_B47FIN,3/24/12,24,3,fin,Walleye,530,7.1975824,27.0851203,16.429,-26.294
PRD155_9/8_WAL_535F_422FIN,9/8/12,8,9,fin,Walleye,535,6.3211338,23.3677755,15.836,-25.971
PRD155_9/8_WAL_535F_422FIN,9/8/12,8,9,fin,Walleye,535,7.1960985,20.7872526,15.711,-25.927
PRD152_9/8_WAL_540F_419FIN,9/8/12,8,9,fin,Walleye,540,6.3431046,21.1523374,15.329,-23.983
PRD154_9/8_WAL_540F_421FIN,9/8/12,8,9,fin,Walleye,540,6.3278416,20.9267239,16.044,-25.659
PRD40_3/24_WAL_540M_B42FIN,3/24/12,24,3,fin,Walleye,540,7.8538003,29.5379607,17.261,-23.923
PRD72_3/25_WAL_540M_B74FIN,3/25/12,25,3,fin,Walleye,540,8.5836583,32.7997851,16.124,-28.304
PRD223_10/12_WAL_545M_490FIN,10/12/12,12,10,fin,Walleye,545,6.6508019,24.0295376,15.515,-26.174
PRD205_9/9_WAL_550F_472FIN,9/9/12,9,9,fin,Walleye,550,6.2237702,21.1188747,15.733,-23.34
PRD214_9/9_WAL_550M_481FIN,9/9/12,9,9,fin,Walleye,550,6.1570182,21.1128724,15.751,-23.429
PRD86_3/25_WAL_550M_B88FIN,3/25/12,25,3,fin,Walleye,550,7.9147873,30.8608927,16.326,-27.576
PRD86_3/25_WAL_550M_B88FIN,3/25/12,25,3,fin,Walleye,550,7.6077903,29.36099,16.245,-27.507
PRD196_9/9_WAL_560F_463FIN,9/9/12,9,9,fin,Walleye,560,6.7222473,22.7926199,16.645,-23.83
PRD208_9/9_WAL_560F_475FIN,9/9/12,9,9,fin,Walleye,560,6.3011302,21.1533526,16.276,-25.757
PRD51_3/24_WAL_560F_B53FIN,3/24/12,24,3,fin,Walleye,560,6.6177555,24.6986112,15.497,-26.649
PRD71_3/25_WAL_560M_B73FIN,3/25/12,25,3,fin,Walleye,560,9.4077264,36.3286647,17.64,-27.315
PRD83_3/25_WAL_560F_B85FIN,3/25/12,25,3,fin,Walleye,560,9.1917228,36.2578642,16.955,-27.656
PRD199_9/9_WAL_565F_466FIN,9/9/12,9,9,fin,Walleye,565,6.2080587,21.5412456,16.405,-25.266
PRD199_9/9_WAL_565F_466FIN,9/9/12,9,9,fin,Walleye,565,6.9126036,23.0211762,16.195,-25.168
PRD143_7/8_WAL_570F_B121FIN,7/8/12,8,7,fin,Walleye,570,6.2387044,21.6831554,16.249,-25.316
PRD156_9/8_WAL_570M_423FIN,9/8/12,8,9,fin,Walleye,570,6.6651938,21.7444418,15.054,-25.721
PRD161_9/8_WAL_570F_428FIN,9/8/12,8,9,fin,Walleye,570,6.5151284,21.9660439,16.661,-25.533
PRD37_3/24_WAL_570M_B39FIN,3/24/12,24,3,fin,Walleye,570,8.2000626,30.637205,16.698,-27.727
PRD46_3/24_WAL_570F_B48FIN,3/24/12,24,3,fin,Walleye,570,8.0860313,30.5233319,15.51,-27.178
PRD13_3/24_WAL_590F_B15FIN,3/24/12,24,3,fin,Walleye,590,7.7462843,30.1497924,17.077,-26.027
PRD142_7/8_WAL_590M_B120FIN,7/8/12,8,7,fin,Walleye,590,6.2659862,20.7350754,16.485,-24.01
PRD148_9/8_WAL_590F_415FIN,9/8/12,8,9,fin,Walleye,590,6.4936397,22.3626085,16.342,-25.789
PRD179_9/8_WAL_590F_446FIN,9/8/12,8,9,fin,Walleye,590,6.1346153,19.9710527,16.129,-24.084
PRD216_9/9_WAL_590F_483FIN,9/9/12,9,9,fin,Walleye,590,6.575639,23.6236064,16.141,-24.504
PRD41_3/24_WAL_590M_B43FIN,3/24/12,24,3,fin,Walleye,590,7.4297324,33.2079863,15.673,-28.442
PRD41_3/24_WAL_590M_B43FIN,3/24/12,24,3,fin,Walleye,590,8.7378667,28.3564445,15.861,-28.232
PRD87_3/25_WAL_590F_B89FIN,3/25/12,25,3,fin,Walleye,590,8.8768363,34.8484258,16.044,-28.388
PRD89_3/25_WAL_590X_B91FIN,3/25/12,25,3,fin,Walleye,590,8.6821938,34.3757043,16.786,-28.476
PRD119_7/7_WAL_610M_B283FIN,7/7/12,7,7,fin,Walleye,610,5.5501241,18.5258463,16.3,-25.638
PRD17_3/24_WAL_610X_B19FIN,3/24/12,24,3,fin,Walleye,610,7.2146094,26.4676499,16.684,-26.368
PRD175_9/8_WAL_610F_442FIN,9/8/12,8,9,fin,Walleye,610,5.4593786,18.4135189,15.87,-22.712
PRD181_9/8_WAL_610F_448FIN,9/8/12,8,9,fin,Walleye,610,6.6686592,23.7669037,16.597,-25.76
PRD44_3/24_WAL_610F_B46FIN,3/24/12,24,3,fin,Walleye,610,7.3210258,26.9994336,16.336,-26.281
PRD49_3/24_WAL_610X_B51FIN,3/24/12,24,3,fin,Walleye,610,8.0346157,30.7945424,16.649,-28.018
PRD88_3/25_WAL_610M_B90FIN,3/25/12,25,3,fin,Walleye,610,9.3673081,37.8495944,17.285,-27.507
PRD149_9/8_WAL_615F_416FIN,9/8/12,8,9,fin,Walleye,615,6.6542673,22.828401,16.518,-23.807
PRD198_9/9_WAL_615F_465FIN,9/9/12,9,9,fin,Walleye,615,6.1417667,21.4939075,15.627,-25.893
PRD140_7/8_WAL_620F_B118FIN,7/8/12,8,7,fin,Walleye,620,5.9684107,19.7548401,16.241,-23.47
PRD52_3/24_WAL_620X_B54FIN,3/24/12,24,3,fin,Walleye,620,9.115817,34.5500355,16.084,-29.021
PRD123_7/7_WAL_630M_B287FIN,7/7/12,7,7,fin,Walleye,630,6.118745,20.3452724,16.682,-24.24
PRD48_3/24_WAL_670F_B50FIN,3/24/12,24,3,fin,Walleye,670,9.0658867,34.2033024,16.073,-26.301
PRD50_3/24_WAL_670M_B52FIN,3/24/12,24,3,fin,Walleye,670,6.4324475,21.2175629,17.693,-23.378
PRD50_3/24_WAL_670M_B52FIN,3/24/12,24,3,fin,Walleye,670,5.9472615,23.2052076,17.665,-23.213
PRD82_3/25_WAL_670F_B84FIN,3/25/12,25,3,fin,Walleye,670,7.5174589,28.7471293,17.523,-26.454
PRD117_7/7_WAL_680F_B281FIN,7/7/12,7,7,fin,Walleye,680,8.5301136,27.1988097,15.457,-25.142
PRD139_7/8_WAL_690M_B117FIN,7/8/12,8,7,fin,Walleye,690,8.7079415,32.1754679,17.359,-25.571
PRD141_7/8_WAL_690F_B119FIN,7/8/12,8,7,fin,Walleye,690,5.875665,19.5736123,16.79,-23.286
PRD93_3/25_WAL_690F_B95FIN,3/25/12,25,3,fin,Walleye,690,7.7997562,28.635858,16.954,-25.919
PRD134_7/8_WAL_700F_B112FIN,7/8/12,8,7,fin,Walleye,700,7.0766988,22.2527861,16.027,-22.797
PRD95_3/25_WAL_700M_B97FIN,3/25/12,25,3,fin,Walleye,700,6.6140517,29.517582,18.029,-26.771
PRD95_3/25_WAL_700M_B97FIN,3/25/12,25,3,fin,Walleye,700,8.0842172,24.5863677,18.41,-26.128
PRD43_3/24_WAL_710F_B45FIN,3/24/12,24,3,fin,Walleye,710,8.4986094,31.7115073,16.746,-27.104
PRD94_3/25_WAL_710F_B96FIN,3/25/12,25,3,fin,Walleye,710,7.962941,30.0877094,16.586,-26.655
PRD138_7/8_WAL_725F_B116FIN,7/8/12,8,7,fin,Walleye,725,5.4091265,17.6375663,17.25,-21.255
PRD168_9/8_WAL_730F_435FIN,9/8/12,8,9,fin,Walleye,730,6.510475,23.1962476,17.042,-25.553
PRD20_3/24_WAL_730F_B22FIN,3/24/12,24,3,fin,Walleye,730,7.2133031,25.8876504,16.474,-26.714
PRD76_3/25_WAL_760F_B78FIN,3/25/12,25,3,fin,Walleye,760,9.5754182,38.0672877,17.397,-28.44
PRD21_3/24_WAL_780F_B23FIN,3/24/12,24,3,fin,Walleye,780,6.7518519,24.7285095,17.211,-25.842
PRD190_9/9_WAL_830F_457FIN,9/9/12,9,9,fin,Walleye,830,7.617487,26.3942595,17.4,-23.713
PRY67_5/10_NPM_1250_203FIN,5/10/12,10,5,fin,northern pike minnow,125,5.0378314,20.9935473,17.445,-25.549
PRY164_5/10_NPM_1700_226FIN,5/10/12,10,5,fin,northern pike minnow,170,5.4603321,21.982645,15.851,-20.033
NPM12_5/30_NPM_190-_535FIN,5/30/12,30,5,fin,northern pike minnow,190,5.0148613,18.4811074,14.998,-19.703
NPM2_5/13_NPM_190-_545FIN,5/13/12,13,5,fin,northern pike minnow,190,5.6218662,21.9553749,16.463,-19.185
PRY165_5/10_NPM_1900_227FIN,5/10/12,10,5,fin,northern pike minnow,190,5.7958959,24.9187054,16.189,-19.379
NPM35_7/7_NPM_200-_490FIN,7/7/12,7,7,fin,northern pike minnow,200,5.7121587,22.2534163,13.137,-26.086
NPM41_7/15_NPM_200-_528FIN,7/15/12,15,7,fin,northern pike minnow,200,4.9122993,19.6373144,13.678,-25.09
NPM41_7/15_NPM_200-_528FIN,7/15/12,15,7,fin,northern pike minnow,200,4.9638301,19.9474178,13.645,-25.004
NPM23_6/28_NPM_205-_507FIN,6/28/12,28,6,fin,northern pike minnow,205,4.9410698,18.2727637,13.085,-25.477
NPM31_7/3_NPM_205-_496FIN,7/3/12,3,7,fin,northern pike minnow,205,5.2440586,20.225723,13.329,-25.875
NPM59_9/17_NPM_205-_518FIN,9/17/12,17,9,fin,northern pike minnow,205,5.4240208,20.2466732,12.731,-26.33
NPM11_5/30_NPM_210-_534FIN,5/30/12,30,5,fin,northern pike minnow,210,5.2417451,20.9932537,15.196,-22.852
NPM21_6/28_NPM_210-_505FIN,6/28/12,28,6,fin,northern pike minnow,210,3.9750733,15.4155246,14.372,-19.409
NPM29_7/3_NPM_210-_494FIN,7/3/12,3,7,fin,northern pike minnow,210,6.1867282,24.5553235,13.221,-25.652
NPM32_7/3_NPM_210-_497FIN,7/3/12,3,7,fin,northern pike minnow,210,4.6966132,18.2172771,15.675,-21.52
NPM4_5/14_NPM_210-_521FIN,5/14/12,14,5,fin,northern pike minnow,210,4.9912218,18.6871438,11.415,-24.946
NPM40_7/15_NPM_210-_527FIN,7/15/12,15,7,fin,northern pike minnow,210,5.8143664,21.6053095,12.772,-25.363
NPM46_8/11_NPM_210-_514FIN,8/11/12,11,8,fin,northern pike minnow,210,5.3780108,19.9979037,12.318,-26.51
NPM55_9/4_NPM_210-_549FIN,9/4/12,4,9,fin,northern pike minnow,210,5.2000376,18.8432466,12.885,-25.023
NPM62_9/18_NPM_210-_530FIN,9/18/12,18,9,fin,northern pike minnow,210,5.1354096,19.4365592,13.153,-26.368
NPM9_5/30_NPM_210-_532FIN,5/30/12,30,5,fin,northern pike minnow,210,5.119717,20.4408133,14.007,-24.86
NPM14_6/12_NPM_215-_537FIN,6/12/12,12,6,fin,northern pike minnow,215,5.4538245,20.8635522,15.332,-22.968
NPM34_7/3_NPM_215-_499FIN,7/3/12,3,7,fin,northern pike minnow,215,5.5380694,21.1239236,13.466,-25.796
NPM26_6/28_NPM_220-_510FIN,6/28/12,28,6,fin,northern pike minnow,220,5.243372,19.3108607,14.779,-23.164
NPM30_7/3_NPM_220-_495FIN,7/3/12,3,7,fin,northern pike minnow,220,6.0153384,23.4407744,13.601,-26.636
NPM30_7/3_NPM_220-_495FIN,7/3/12,3,7,fin,northern pike minnow,220,5.6051389,21.6726891,13.606,-26.38
NPM33_7/3_NPM_220-_498FIN,7/3/12,3,7,fin,northern pike minnow,220,5.2170247,20.5146571,14.7,-24.026
NPM37_7/15_NPM_220-_524FIN,7/15/12,15,7,fin,northern pike minnow,220,4.1760057,16.0888517,12.861,-24.631
NPM54_9/4_NPM_220-_548FIN,9/4/12,4,9,fin,northern pike minnow,220,5.2778036,19.6867467,11.811,-27.151
NPM56_9/4_NPM_220-_550FIN,9/4/12,4,9,fin,northern pike minnow,220,5.3334456,19.7289707,12.916,-25.586
NPM6_5/14_NPM_220-_523FIN,5/14/12,14,5,fin,northern pike minnow,220,5.0938932,19.4597567,14.964,-19.838
NPM61_9/18_NPM_220-_529FIN,9/18/12,18,9,fin,northern pike minnow,220,5.513251,20.2655253,12.903,-26.624
PRY166_5/10_NPM_2200_228FIN,5/10/12,10,5,fin,northern pike minnow,220,6.5316317,27.5182639,15.176,-20.944
NPM28_7/3_NPM_225-_493FIN,7/3/12,3,7,fin,northern pike minnow,225,5.021992,19.2080864,11.877,-25.911
NPM39_7/15_NPM_225-_526FIN,7/15/12,15,7,fin,northern pike minnow,225,5.1714545,18.5513154,13.729,-24.358
NPM1_5/13_NPM_230-_544FIN,5/13/12,13,5,fin,northern pike minnow,230,4.6388839,17.849587,15.911,-18.968
NPM5_5/14_NPM_230-_522FIN,5/14/12,14,5,fin,northern pike minnow,230,5.5124074,21.4624942,13.045,-27.284
NPM51_8/16_NPM_230-_543FIN,8/16/12,16,8,fin,northern pike minnow,230,5.438748,21.0845663,13.136,-26.2
NPM65_9/30_NPM_230-_488FIN,9/30/12,30,9,fin,northern pike minnow,230,4.9450414,19.3825195,13.156,-27.263
NPM15_6/12_NPM_235-_538FIN,6/12/12,12,6,fin,northern pike minnow,235,5.732757,23.0794692,15.047,-23.224
NPM17_6/28_NPM_235-_501FIN,6/28/12,28,6,fin,northern pike minnow,235,4.9557092,18.5421706,15.066,-20.925
NPM38_7/15_NPM_235-_525FIN,7/15/12,15,7,fin,northern pike minnow,235,5.5220719,20.9008113,13.714,-22.678
NPM45_8/11_NPM_235-_513FIN,8/11/12,11,8,fin,northern pike minnow,235,5.6040695,20.8906625,13.38,-24.684
NPM13_6/12_NPM_240-_536FIN,6/12/12,12,6,fin,northern pike minnow,240,5.9445819,22.711989,12.936,-25.458
NPM20_6/28_NPM_245-_504FIN,6/28/12,28,6,fin,northern pike minnow,245,4.169628,15.477999,14.692,-21.117
NPM48_8/16_NPM_245-_540FIN,8/16/12,16,8,fin,northern pike minnow,245,5.2617074,18.7947684,13.236,-25.508
NPM10_5/30_NPM_250-_533FIN,5/30/12,30,5,fin,northern pike minnow,250,5.3534688,20.9161691,14.544,-21.568
NPM22_6/28_NPM_250-_506FIN,6/28/12,28,6,fin,northern pike minnow,250,4.8535541,17.8954404,15.136,-19.542
NPM25_6/28_NPM_250-_509FIN,6/28/12,28,6,fin,northern pike minnow,250,5.1177525,17.8848037,13.516,-24.527
NPM27_7/3_NPM_250-_492FIN,7/3/12,3,7,fin,northern pike minnow,250,5.1583628,19.4104918,12.732,-26.111
NPM63_9/30_NPM_250-_486FIN,9/30/12,30,9,fin,northern pike minnow,250,5.5501304,19.0021497,13.902,-26.763
NPM63_9/30_NPM_250-_486FIN,9/30/12,30,9,fin,northern pike minnow,250,5.1889288,19.8523758,14.409,-26.707
NPM18_6/28_NPM_260-_502FIN,6/28/12,28,6,fin,northern pike minnow,260,4.5755579,16.6709538,13.826,-18.782
NPM24_6/28_NPM_260-_508FIN,6/28/12,28,6,fin,northern pike minnow,260,5.1065006,18.7594787,14.108,-25.338
NPM3_5/14_NPM_260-_520FIN,5/14/12,14,5,fin,northern pike minnow,260,6.9098078,28.0647918,16.088,-20.232
NPM50_8/16_NPM_260-_542FIN,8/16/12,16,8,fin,northern pike minnow,260,6.4337647,25.4278554,13.222,-26.409
NPM58_9/17_NPM_260-_517FIN,9/17/12,17,9,fin,northern pike minnow,260,5.7228468,21.2384632,13.548,-27.068
NPM64_9/30_NPM_260-_487FIN,9/30/12,30,9,fin,northern pike minnow,260,6.7829582,28.7713236,14.847,-25.315
NPM19_6/28_NPM_270-_503FIN,6/28/12,28,6,fin,northern pike minnow,270,5.788768,21.3357471,13.078,-24.993
NPM19_6/28_NPM_270-_503FIN,6/28/12,28,6,fin,northern pike minnow,270,5.3664024,19.3267704,13.24,-23.737
NPM49_8/16_NPM_270-_541FIN,8/16/12,16,8,fin,northern pike minnow,270,5.5574212,20.8172044,14.129,-24.178
NPM57_9/17_NPM_270-_516FIN,9/17/12,17,9,fin,northern pike minnow,270,5.3821417,19.574655,13.706,-25.287
NPM36_7/7_NPM_280-_491FIN,7/7/12,7,7,fin,northern pike minnow,280,6.0424973,22.3891616,14.135,-24.134
NPM60_9/17_NPM_280-_519FIN,9/17/12,17,9,fin,northern pike minnow,280,5.1271154,19.5960157,13.438,-26.129
NPM52_9/4_NPM_290-_546FIN,9/4/12,4,9,fin,northern pike minnow,290,6.1321291,23.12454,13.702,-24.675
NPM52_9/4_NPM_290-_546FIN,9/4/12,4,9,fin,northern pike minnow,290,5.8135786,20.9790716,13.871,-23.858
NPM44_8/11_NPM_320-_512FIN,8/11/12,11,8,fin,northern pike minnow,320,6.1788393,22.1311073,13.739,-24.83
NPM16_6/28_NPM_330-_500FIN,6/28/12,28,6,fin,northern pike minnow,330,5.5417674,20.6364535,14.482,-24.245
NPM42_8/5_NPM_330-_515FIN,8/5/12,5,8,fin,northern pike minnow,330,4.9114018,17.279267,13.836,-24.53
NPM43_8/11_NPM_330-_511FIN,8/11/12,11,8,fin,northern pike minnow,330,5.602752,20.8491637,13.517,-26.004
NPM53_9/4_NPM_340-_547FIN,9/4/12,4,9,fin,northern pike minnow,340,6.6089438,25.6507771,14.415,-25.584
NPM47_8/16_NPM_360-_539FIN,8/16/12,16,8,fin,northern pike minnow,360,5.654551,20.4559098,14.806,-20.649
NPM8_5/30_NPM_430-_531FIN,5/30/12,30,5,fin,northern pike minnow,430,4.2522437,19.8061765,14.644,-23.821
NPM8_5/30_NPM_430-_531FIN,5/30/12,30,5,fin,northern pike minnow,430,4.8569317,17.4734426,14.699,-23.605
NPM7_5/15_NPM_510-_489FIN,5/15/12,15,5,fin,northern pike minnow,510,7.2295162,29.3034832,15.417,-25.609